"","plant","mean_BC","mean_CC","mean_abund","mean_rich","season"
"1","A.millefolium",0.01024870175,0.02386522625,6.75,3,"early"
"2","A.millefolium",0,0.01922,19.25,3.25,"mid"
"3","A.millefolium",0,0.011115,4,4,"late"
"4","amsint",0,0.0125383755,4.25,2.75,"early"
"5","antcor",0,0.008188404,2.25,2,"early"
"6","antcor",0.000502,0.012285,10.75,5,"mid"
"7","antcor",0,0.001998,1,1,"late"
"8","asceri",0,0.005489,1.5,1,"mid"
"9","ascfas",0,0.008445525,1,1,"early"
"10","ascfas",0.015802,0.017533,17,5.333333,"mid"
"11","ascfas",0,0.019359,9,3,"late"
"12","calcil",0.0370448465,0.035269532,14.5,5.5,"early"
"13","C.cheiranthifolia",0,0.0110846326666667,2,2,"early"
"14","C.cheiranthifolia",0,0.016218,13.33333,5.333333,"mid"
"15","C.cheiranthifolia",0,0.008364,3,2.333333,"late"
"16","clapur",0,0.0100645516666667,2,1.66666666666667,"early"
"17","clapur",0,0.004596,2.5,1.5,"mid"
"18","C.unguiculata",0.005739273,0.017486025,3.5,1.75,"early"
"19","C.unguiculata",0.003678,0.014702,10.33333,4.666667,"mid"
"20","C.williamsonii",0.028325746,0.02282248,6,3.66666666666667,"early"
"21","C.williamsonii",0,0.019058,21,6.5,"mid"
"22","C.heterophylla",0.03579059825,0.02322536875,6.5,2.75,"early"
"23","E.lanatum",0.19099024525,0.04440362075,18,5.5,"early"
"24","E.lanatum",0.011161,0.039301,59.33333,8,"mid"
"25","E.lanatum",0,0.015335,8.5,6,"late"
"26","E.californica",0.07444467925,0.04762532825,21,7.5,"early"
"27","E.californica",0.038881,0.033873,55,8,"mid"
"28","E.californica",0,0.017338,14.66667,4.333333,"late"
"29","G.capitata",0,0.0111171085,1.5,1.5,"early"
"30","G.capitata",0.043336,0.03598,47,8.5,"mid"
"31","G.capitata",0,0.003499,2,2,"late"
"32","G.camporum",0.036418816,0.035997162,15,2,"early"
"33","G.camporum",0.240448,0.036201,117,11.5,"mid"
"34","G.camporum",0.375506,0.037348,103.75,7.25,"late"
"35","H.annuus",0,0.0209153595,7.5,2.5,"early"
"36","H.annuus",0.297685,0.054741,124.5,9,"mid"
"37","H.annuus",0.06474,0.031776,46,10.25,"late"
"38","H.bolanderi",0.069221,0.03746,101.75,8.25,"mid"
"39","H.bolanderi",0.03125,0.026306,51,8.25,"late"
"40","H.californicus",0,0.013619,10.33333,3.666667,"mid"
"41","H.californicus",0,0.017288,14.75,5,"late"
"42","H.grandiflora",0,0.014066993,2,1,"early"
"43","H.grandiflora",0,0.012891,3,1,"mid"
"44","H.grandiflora",0.010101,0.022533,38.66667,2.666667,"late"
"45","L.fremontii",0,0.0316867825,12,5.5,"early"
"46","L.fremontii",0,0.001047,1,1,"mid"
"47","lasgla",0.0482708155,0.0290868085,10,5.5,"early"
"48","lasgla",0,0.002083,2,2,"mid"
"49","limalb",0.05758749275,0.0314287425,12,4.75,"early"
"50","lotsco",0.034435638,0.030888031,18,6,"early"
"51","lotsco",0.102023,0.02324,24,6,"mid"
"52","lotsco",0,0.002693,5.5,3.5,"late"
"53","L.densiflorus",0.050734286,0.0271392286666667,8,3.33333333333333,"early"
"54","L.densiflorus",0,0.006455,4.333333,3.333333,"mid"
"55","L.formosus",0,0.008445525,1,1,"early"
"56","L.formosus",0.006645,0.012957,10.75,4,"mid"
"57","L.formosus",0,0.011246,5,4,"late"
"58","lupsuc",0,0.0165749345,5,3.5,"early"
"59","lupsuc",0,0.003676,1.333333,1.333333,"mid"
"60","M.elegans",0,0.0107534423333333,2,2,"early"
"61","M.elegans",0.060874,0.017722,15.5,5.75,"mid"
"62","M.elegans",0.093074,0.020361,20.25,5.75,"late"
"63","M.saxalis",0,0.008546159,1,1,"early"
"64","M.saxalis",0.019853,0.027259,30.75,8.75,"mid"
"65","M.saxalis",0.00303,0.021203,17.25,5.5,"late"
"66","monvil",0.01065865,0.0093259155,2,2,"early"
"67","monvil",0.022401,0.022371,21.66667,6.333333,"mid"
"68","monvil",0,0.015518,7,5,"late"
"69","N.maculata",0.03797597625,0.02958807375,9,3.5,"early"
"70","N.menziesii",0,0.03122246425,9.25,4.75,"early"
"71","oenela",0,0.005959,4.333333,2.333333,"mid"
"72","oenela",0,0.007849,4.25,2.25,"late"
"73","penhet",0,0.033083092,12,5,"early"
"74","penhet",0,0.019481,20.33333,4.666667,"mid"
"75","penhet",0,0.008999,3,2,"late"
"76","P.californica",0.002276176,0.0258147665,7.25,3.5,"early"
"77","P.californica",0.002508,0.026155,25.66667,5.666667,"mid"
"78","P.californica",0,0.004932,3,1,"late"
"79","P.campanularia",0.0616061606666667,0.0358097266666667,13.3333333333333,4.66666666666667,"early"
"80","P.campanularia",0.001502,0.012528,12,4,"mid"
"81","P.ciliata",0.27492115275,0.0526209735,36.25,9.5,"early"
"82","P.ciliata",0,0.006285,5,4,"mid"
"83","P.tanacetefolia",0.09288787475,0.0413563385,14,5.25,"early"
"84","P.tanacetefolia",0,0.010554,6.5,3.25,"mid"
"85","scrcal",0.00437277933333333,0.0259045086666667,8,2.66666666666667,"early"
"86","scrcal",0.053765,0.018761,19.25,4.5,"mid"
"87","scrcal",0,0.002857,1.5,1,"late"
"88","solvel",0,0.007813,3,2,"late"
"89","S.ambigua",0,0.01132893625,3.25,2.25,"early"
"90","S.ambigua",0.009015,0.021829,31,9.25,"mid"
"91","S.ambigua",0.10101,0.022827,22,7.333333,"late"
"92","symchi",0,0.012047,8,4,"mid"
"93","symchi",0.008081,0.030431,30.33333,3.666667,"late"
"94","T.fucatum",0,0.0080026605,2,2,"early"
"95","T.lanceolatum",0,0.003983091,1,1,"early"
"96","T.lanceolatum",0.065975,0.034646,38.25,6.75,"mid"
"97","T.lanceolatum",0.343006,0.068473,140.5,9.75,"late"
