"","plant","weighted.betweenness","weighted.closeness","mean_BC","mean_CC"
"1","achmil",0,0.012347304,0,0.01921974
"2","achmil",0,0.005655789,0,0.01921974
"3","achmil",0,0.022594914,0,0.01921974
"4","achmil",0,0.036280953,0,0.01921974
"5","antcor",0,0.007739196,0.0005015045,0.01228495425
"6","antcor",0,0.010435529,0.0005015045,0.01228495425
"7","antcor",0.002006018,0.009974023,0.0005015045,0.01228495425
"8","antcor",0,0.020991069,0.0005015045,0.01228495425
"9","asceri",0,0.001829775,0,0.0054886605
"10","asceri",0,0.009147546,0,0.0054886605
"11","ascfas",0,0.013403574,0.015802469,0.0175325203333333
"12","ascfas",0.047407407,0.010789093,0.015802469,0.0175325203333333
"13","ascfas",0,0.028404894,0.015802469,0.0175325203333333
"14","camche",0,0.006286929,0,0.0162184833333333
"15","camche",0,0.016072558,0,0.0162184833333333
"16","camche",0,0.026295963,0,0.0162184833333333
"17","clapur",0,0.005084435,0,0.0045962715
"18","clapur",0,0.004108108,0,0.0045962715
"19","claung",0,0.011067545,0.00367769966666667,0.01470183
"20","claung",0.011033099,0.022701278,0.00367769966666667,0.01470183
"21","claung",0,0.010336667,0.00367769966666667,0.01470183
"22","clawil",0,0.009789508,0,0.0190580475
"23","clawil",0,0.028326587,0,0.0190580475
"24","erilan",0.03348358,0.026637486,0.0111611933333333,0.0393006636666667
"25","erilan",0,0.018512202,0.0111611933333333,0.0393006636666667
"26","erilan",0,0.072752303,0.0111611933333333,0.0393006636666667
"27","esccal",0.115904701,0.031296757,0.0388808895,0.0338734355
"28","esccal",0,0.017097655,0.0388808895,0.0338734355
"29","esccal",0.039618857,0.022172025,0.0388808895,0.0338734355
"30","esccal",0,0.064927305,0.0388808895,0.0338734355
"31","gilcap",0,0.019943382,0.043335954,0.0359804335
"32","gilcap",0.057777778,0.019762886,0.043335954,0.0359804335
"33","gilcap",0,0.013454236,0.043335954,0.0359804335
"34","gilcap",0.115566038,0.09076123,0.043335954,0.0359804335
"35","gricam",0.303927882,0.033783278,0.2404483325,0.03620108325
"36","gricam",0.394074074,0.034334269,0.2404483325,0.03620108325
"37","gricam",0.263791374,0.025884961,0.2404483325,0.03620108325
"38","gricam",0,0.050801825,0.2404483325,0.03620108325
"39","helann",0.01030264,0.032588603,0.2976854135,0.0547407895
"40","helann",0.121481481,0.030417259,0.2976854135,0.0547407895
"41","helann",0.174523571,0.02586827,0.2976854135,0.0547407895
"42","helann",0.884433962,0.130089026,0.2976854135,0.0547407895
"43","helbol",0.276883451,0.033294327,0.06922086275,0.03746045275
"44","helbol",0,0.026900356,0.06922086275,0.03746045275
"45","helbol",0,0.0173465,0.06922086275,0.03746045275
"46","helbol",0,0.072300628,0.06922086275,0.03746045275
"47","helcal",0,0.017579593,0,0.0136185916666667
"48","helcal",0,0.015345482,0,0.0136185916666667
"49","helcal",0,0.0079307,0,0.0136185916666667
"50","hetgra",0,0.01289147,0,0.01289147
"51","lasfre",0,0.001046531,0,0.001046531
"52","lasgla",0,0.002083289,0,0.002083289
"53","lotsco",0.133333333,0.018193981,0.1020227345,0.0232395175
"54","lotsco",0.070712136,0.028285054,0.1020227345,0.0232395175
"55","lupden",0,0.004801661,0,0.006455316
"56","lupden",0,0.008514036,0,0.006455316
"57","lupden",0,0.006050251,0,0.006455316
"58","lupfor",0,0.005200939,0.00664493475,0.01295686125
"59","lupfor",0,0,0.00664493475,0.01295686125
"60","lupfor",0.026579739,0.027618226,0.00664493475,0.01295686125
"61","lupfor",0,0.01900828,0.00664493475,0.01295686125
"62","lupsuc",0,0.001836503,0,0.00367602666666667
"63","lupsuc",0,0.00814581,0,0.00367602666666667
"64","lupsuc",0,0.001045767,0,0.00367602666666667
"65","madele",0.06696716,0.009837475,0.06087418725,0.017721868
"66","madele",0,0.012786663,0.06087418725,0.017721868
"67","madele",0.176529589,0.026884476,0.06087418725,0.017721868
"68","madele",0,0.021378858,0.06087418725,0.017721868
"69","malsax",0,0.011816215,0.019852892,0.02725869225
"70","malsax",0.053333333,0.021000649,0.019852892,0.02725869225
"71","malsax",0.026078235,0.020193665,0.019852892,0.02725869225
"72","malsax",0,0.05602424,0.019852892,0.02725869225
"73","monvil",0,0.019887977,0.022400535,0.0223714496666667
"74","monvil",0.067201605,0.019268932,0.022400535,0.0223714496666667
"75","monvil",0,0.02795744,0.022400535,0.0223714496666667
"76","oenela",0,0.005354176,0,0.00595917466666667
"77","oenela",0,0.008481392,0,0.00595917466666667
"78","oenela",0,0.004041956,0,0.00595917466666667
"79","penhet",0,0,0,0.0194812856666667
"80","penhet",0,0.015233927,0,0.0194812856666667
"81","penhet",0,0.04320993,0,0.0194812856666667
"82","phacal",0,0.023626653,0.00250752266666667,0.026155378
"83","phacal",0.007522568,0.025545907,0.00250752266666667,0.026155378
"84","phacal",0,0.029293574,0.00250752266666667,0.026155378
"85","phacam",0.004507405,0.013473684,0.00150246833333333,0.012528475
"86","phacam",0,0.004925479,0.00150246833333333,0.012528475
"87","phacam",0,0.019186262,0.00150246833333333,0.012528475
"88","phacil",0,0.006285031,0,0.006285031
"89","phatan",0,0.006428065,0,0.0105543105
"90","phatan",0,0.006113678,0,0.0105543105
"91","phatan",0,0.018683886,0,0.0105543105
"92","phatan",0,0.010991613,0,0.0105543105
"93","scrcal",0.151963941,0.027660837,0.0537653455,0.018760803
"94","scrcal",0.005925926,0.007966684,0.0537653455,0.018760803
"95","scrcal",0.057171515,0.033371403,0.0537653455,0.018760803
"96","scrcal",0,0.006044288,0.0537653455,0.018760803
"97","sphamb",0.03605924,0.024926845,0.00901481,0.02182885675
"98","sphamb",0,0.012440787,0.00901481,0.02182885675
"99","sphamb",0,0.014913531,0.00901481,0.02182885675
"100","sphamb",0,0.035034264,0.00901481,0.02182885675
"101","symchi",0,0.017128633,0,0.0120468895
"102","symchi",0,0.006965146,0,0.0120468895
"103","trilan",0,0.020330007,0.0659745905,0.03464574175
"104","trilan",0.186666667,0.046517399,0.0659745905,0.03464574175
"105","trilan",0.077231695,0.02840019,0.0659745905,0.03464574175
"106","trilan",0,0.043335371,0.0659745905,0.03464574175
